event_id,day,restaurant,cuisine,n_attendees,table_number,user_id,gender,age,archetype,table_compat
FRI_E1,Friday,Riviera Grill,Mediterranean,42,1,U0211,M,29,social,0.8457
FRI_E1,Friday,Riviera Grill,Mediterranean,42,1,U0224,M,32,social,0.8457
FRI_E1,Friday,Riviera Grill,Mediterranean,42,1,U0231,M,35,creative,0.8457
FRI_E1,Friday,Riviera Grill,Mediterranean,42,1,U0277,F,26,creative,0.8457
FRI_E1,Friday,Riviera Grill,Mediterranean,42,1,U0018,F,27,social,0.8457
FRI_E1,Friday,Riviera Grill,Mediterranean,42,1,U0161,F,23,social,0.8457
FRI_E1,Friday,Riviera Grill,Mediterranean,42,2,U0213,M,30,traditional,0.934
FRI_E1,Friday,Riviera Grill,Mediterranean,42,2,U0249,M,33,professional,0.934
FRI_E1,Friday,Riviera Grill,Mediterranean,42,2,U0029,M,23,traditional,0.934
FRI_E1,Friday,Riviera Grill,Mediterranean,42,2,U0055,F,34,traditional,0.934
FRI_E1,Friday,Riviera Grill,Mediterranean,42,2,U0157,F,31,traditional,0.934
FRI_E1,Friday,Riviera Grill,Mediterranean,42,2,U0004,F,30,traditional,0.934
FRI_E1,Friday,Riviera Grill,Mediterranean,42,3,U0152,M,27,intellectual,0.7958
FRI_E1,Friday,Riviera Grill,Mediterranean,42,3,U0083,M,32,intellectual,0.7958
FRI_E1,Friday,Riviera Grill,Mediterranean,42,3,U0159,M,35,intellectual,0.7958
FRI_E1,Friday,Riviera Grill,Mediterranean,42,3,U0174,F,27,intellectual,0.7958
FRI_E1,Friday,Riviera Grill,Mediterranean,42,3,U0206,F,29,adventurer,0.7958
FRI_E1,Friday,Riviera Grill,Mediterranean,42,3,U0080,F,24,adventurer,0.7958
FRI_E1,Friday,Riviera Grill,Mediterranean,42,4,U0017,M,33,intellectual,0.7807
FRI_E1,Friday,Riviera Grill,Mediterranean,42,4,U0103,M,24,intellectual,0.7807
FRI_E1,Friday,Riviera Grill,Mediterranean,42,4,U0158,M,21,creative,0.7807
FRI_E1,Friday,Riviera Grill,Mediterranean,42,4,U0035,F,28,professional,0.7807
FRI_E1,Friday,Riviera Grill,Mediterranean,42,4,U0060,F,36,intellectual,0.7807
FRI_E1,Friday,Riviera Grill,Mediterranean,42,4,U0215,F,25,creative,0.7807
FRI_E1,Friday,Riviera Grill,Mediterranean,42,5,U0147,M,33,traditional,0.9521
FRI_E1,Friday,Riviera Grill,Mediterranean,42,5,U0177,M,28,traditional,0.9521
FRI_E1,Friday,Riviera Grill,Mediterranean,42,5,U0258,M,24,traditional,0.9521
FRI_E1,Friday,Riviera Grill,Mediterranean,42,5,U0219,F,23,traditional,0.9521
FRI_E1,Friday,Riviera Grill,Mediterranean,42,5,U0259,F,31,traditional,0.9521
FRI_E1,Friday,Riviera Grill,Mediterranean,42,5,U0261,F,23,traditional,0.9521
FRI_E1,Friday,Riviera Grill,Mediterranean,42,6,U0149,M,35,adventurer,0.9104
FRI_E1,Friday,Riviera Grill,Mediterranean,42,6,U0129,M,34,adventurer,0.9104
FRI_E1,Friday,Riviera Grill,Mediterranean,42,6,U0240,M,26,intellectual,0.9104
FRI_E1,Friday,Riviera Grill,Mediterranean,42,6,U0067,F,32,adventurer,0.9104
FRI_E1,Friday,Riviera Grill,Mediterranean,42,6,U0074,F,21,creative,0.9104
FRI_E1,Friday,Riviera Grill,Mediterranean,42,6,U0146,F,28,adventurer,0.9104
FRI_E1,Friday,Riviera Grill,Mediterranean,42,7,U0127,M,30,creative,0.7954
FRI_E1,Friday,Riviera Grill,Mediterranean,42,7,U0256,M,25,traditional,0.7954
FRI_E1,Friday,Riviera Grill,Mediterranean,42,7,U0204,M,30,professional,0.7954
FRI_E1,Friday,Riviera Grill,Mediterranean,42,7,U0079,F,26,social,0.7954
FRI_E1,Friday,Riviera Grill,Mediterranean,42,7,U0024,F,37,social,0.7954
FRI_E1,Friday,Riviera Grill,Mediterranean,42,7,U0064,F,23,social,0.7954
FRI_E2,Friday,Riviera Grill,Mediterranean,42,1,U0006,M,21,intellectual,0.7328
FRI_E2,Friday,Riviera Grill,Mediterranean,42,1,U0176,M,30,intellectual,0.7328
FRI_E2,Friday,Riviera Grill,Mediterranean,42,1,U0246,M,31,professional,0.7328
FRI_E2,Friday,Riviera Grill,Mediterranean,42,1,U0123,F,38,intellectual,0.7328
FRI_E2,Friday,Riviera Grill,Mediterranean,42,1,U0250,F,28,professional,0.7328
FRI_E2,Friday,Riviera Grill,Mediterranean,42,1,U0052,F,22,creative,0.7328
FRI_E2,Friday,Riviera Grill,Mediterranean,42,2,U0062,M,21,intellectual,0.7758
FRI_E2,Friday,Riviera Grill,Mediterranean,42,2,U0011,M,28,adventurer,0.7758
FRI_E2,Friday,Riviera Grill,Mediterranean,42,2,U0057,M,26,adventurer,0.7758
FRI_E2,Friday,Riviera Grill,Mediterranean,42,2,U0078,F,24,adventurer,0.7758
